w1,w2,w3,w4,color,connection
fashion,manner,method,way,0,technique
crust,film,scum,skin,1,gross things that form on wet surfaces
catwalk,pit,stage,wings,2,parts of a theater
character,line,page,word,3,counted in document word counts
angel,babe,dove,lamb,0,symbols of innocence
password,secret,spoiler,surprise,1,things you're not supposed to reveal
asterisk,degree,exponent,trademark,2,things represented in superscript
axe,bone,keys,skins,3,slang for musical instruments
delta,island,isthmus,peninsula,0,landforms by water
coconut,dome,melon,pate,1,slang for head
mohawk,punch,sea urchin,volleyball,2,things that can be spiked
elephant,invisible,omega,running,3,"""the ___ man"" movies"
gauzy,gossamer,sheer,thin,0,"translucent, as fabric"
express,state,utter,voice,1,speak
gut,level,total,trash,2,demolish
core,pop,step,wave,3,music genre suffixes
pole,post,shaft,stake,0,pillar
betray,display,express,register,1,"indicate, as emotions"
basilisk,dragon,monitor,skink,2,kinds of lizards
dinner,drafting,round,times,3,___ table
breadcrumb,forest,oven,witch,0,associated with hansel and gretel
cluster,flake,loop,puff,1,bit of cereal
disclosure,ghost,striptease,the substance,2,demi moore movies
incubus,oscar,quatrain,situationship,3,ending in methods of transportation
acrylic,gouache,oil,tempera,0,painting media
gusto,panache,verve,vinegar,1,esprit
beastie,public,run,salt,2,starts of classic hip-hop groups
kitchen,pepper,town,writer,3,ghost ___
brown,jasmine,sticky,sushi,0,kinds of rice
colorful,gummy,sugary,ursine,1,gummy bear descriptors
empanada,fatayer,pasty,samosa,2,savory stuffed pastries
arie,bell,moan,ray,3,disney princesses minus last letter
cloak-and-dagger,covert,hush-hush,top secret,0,clandestine
bubble and squeak,chips,jacket potato,mash,1,british potato dishes
coat of arms,crest,helmet,shield,2,heraldic achievements
cape may,free will,grape must,tin can,3,ending in modal auxiliary verbs
ceiling,door,wall,window,0,room features
newspaper,pipe,robe,slippers,1,old-timey lounging accessories
streetcar,cat,menagerie,tattoo,2,subjects in tennessee williams titles
key,onion,tree,wedding,3,___ ring
butter,pikachu,rubber duck,school bus,0,things that are yellow
break,cue,pocket,rack,1,billiards terms
jack,salt,sea dog,tar,2,slang for a sailor
sash,soak,spine,steak,3,"kinds of wood plus ""s"""
impossible,never,no way,sorry,0,"""in your dreams"""
clear,lucid,right,sound,1,sensible
brace,caret,pipe,tilde,2,typographical symbols
fever,gigi,volare,witchcraft,3,song of the year nominees at the first grammy awards
arctic,atlantic,indian,pacific,0,oceans
ammonia,bo,durian,wet dog,1,sources of distinctive smells
billiard,drawing,powder,reading,2,kinds of rooms in a mansion
father,pennsylvania,protactinium,public address,3,"what ""pa"" might refer to"
duck,hunch,squat,stoop,0,get low
media,news,papers,press,1,fourth estate
bar,bench,podium,stand,2,parts of a courtroom
jump,lift,lodge,slope,3,ski ___
commune,hamlet,township,village,0,small community
battleship,operation,othello,trouble,1,classic board games
aye,lear,pier,stair,2,homophones of ways of looking
banjo,macbeth,monogamy,nutmeg,3,"ending in the ""little women"" march sisters"
cup,medal,pennant,ring,0,championship awards
concern,focus,point,subject,1,matter at hand
airplane,big,clue,twins,2,'80s comedies
enlist,listen,silent,tinsel,3,anagrams
cap,pin,shirt,sticker,0,common promo items
jot,scrap,shred,whit,1,tiny bit
atm,cya,lol,tia,2,texting abbreviations
ball,brow,lash,lid,3,eye___
coop,pen,shed,stable,0,farm fixtures
march,picket,rally,strike,1,labor protest actions
drum,mask,rattle,staff,2,objects used in ritual performances
herb,hiss,itsy,mya,3,possessive adjectives plus a letter
beehive,bouffant,chignon,pompadour,0,hairdos
first,preferably,rather,sooner,1,more readily
daredevil,hawkeye,nightcrawler,wolverine,2,marvel characters
empire,force,last,phantom,3,"words after ""the"" in ""star wars"" movie titles"
check in,follow up,reconnect,touch base,0,reach back out
convention,custom,social norm,unwritten rule,1,the way things are done
assembly line,baggage claim,checkout lane,revolving sushi bar,2,places with conveyor belts
carry-on,el niño,loosey-goosey,tailor-made,3,starting with name homophones
chess,pecan,pumpkin,shoofly,0,kinds of pies
caboose,can,moon,peach,1,things associated with butts
advantage,deuce,forty,love,2,tennis scoring terms
colonel,honey,hot,yellow,3,___ mustard
high,medium,off,simmer,0,stove knob settings
concentration,force,intensity,might,1,potency
interval,key,mode,scale,2,music theory concepts
groundhog,independence,the longest,training,3,"""___ day"" movies"
babble,cry,nurse,teethe,0,things babies do
alter,cook,doctor,fudge,1,modify deceptively
blubber,deenie,forever,superfudge,2,judy blume books
founder,salon,surgeon,trot,3,fish minus a letter
pair,pare,pear,père,0,homophones
blow,crack,pop,split,1,rupture
padre,red,royal,twin,2,mlb player
cheap,earp,lump,wiki,3,fruit anagrams
duct,line,main,pipe,0,conduit
fleece,hose,squeeze,stiff,1,swindle
boil,pour,steep,strain,2,tea-making verbs
grade,grammar,high,primary,3,"""school"" modifiers"
coupe,flute,stein,tumbler,0,glassware
fiddle,mess,play,tinker,1,mess around (with)
allegro,forte,largo,piano,2,music performance directions
bassoon,belfast,nesquick,thermostat,3,"ending in synonyms for ""asap"""
cross,ford,traverse,wade,0,"navigate through, as a river"
bird,curry,james,jordan,1,multi-time nba mvps
able,elba,saw,was,2,non-palindromic words in a famous palindrome
ciao,palm,peek,pitt,3,"homophones of kinds of dogs, familiarly"
gut feeling,hunch,intuition,sixth sense,0,premonition
do not disturb,ring,silent,vibrate,1,cellphone modes
breadcrumb,catfish,ghost,love bomb,2,bad things to do in modern dating
air cairo,all hallows,arm warmer,the others,3,phrases whose second words include their first word
grinder,hero,hoagie,sub,0,long sandwich
argument,basis,cause,grounds,1,pretext
adjust,crop,filters,markup,2,smartphone photo editing options
bean,belly,donut,roll,3,jelly ___
opus,tome,volume,work,0,substantial book
monica,paulo,petersburg,salvador,1,"""saint"" cities"
distance,division,johns,weekend,2,"""long"" things"
franci,rando,realm,wonk,3,currencies plus a letter
creep,slip,sneak,steal,0,"move stealthily, with ""in"""
color,ponzi,pyramid,rhyme,1,kinds of schemes
chinatown,knives out,seven,vertigo,2,detective movies
elegy,karma,keyed,shandy,3,body parts surrounded by two letters
play,repeat,shuffle,skip,0,music player buttons
bound,certain,fated,sure,1,destined
garnish,muddle,pour,stir,2,verbs in making a mojito
coil,fountain,leap,season,3,"what ""spring"" might refer to"
episode,franchise,season,series,0,units of tv programs
boa,chain,lanyard,tie,1,things worn around the neck
friendship bracelet,macramé,quipu,shoelaces,2,strings tied in knots
conversation,period,puff,think,3,___ piece
first base,making out,necking,tonsil hockey,0,canoodling
home plate,jeans back pocket,school crossing sign,the pentagon,1,five-sided things
left field,nowhere,the blue,thin air,2,"unexpected places to be ""out of"""
burger king whopper,film nerd,memento,pitcher's mound,3,"ending in candy brands minus ""s"""
fly,hook,line,net,0,fishing gear
drove,host,mass,pack,1,multitude
carry,double-dribble,goaltend,travel,2,commit a basketball infraction
car window,channel,elevator,volume,3,controlled with up/down buttons
,,,,0,found in a casino
,,,,1,ways to fasten things
,,,,2,seen in a bowling alley
,,,,3,flag designs
flicker,hint,suggestion,whiff,0,glimmer
blink,hiccup,shiver,sneeze,1,involuntary actions
bend,bowline,hitch,sheepshank,2,kinds of knots
gamelan,matchstick,pointer,setback,3,starting with units in competitions
marshmallow,softie,sweetheart,teddy bear,0,tender-hearted person
beanie baby,dessicant packet,eye pillow,hacky sack,1,pellet-filled things
control panel,etch a sketch,radio,stove,2,things with knobs
